scene,mode,tier,level,seed,drift_intensity,n_points,voxel_pca_crispness,mme_grid,mom_planarity,bev_edge_density,knn_entropy_mme,chamfer_oracle,realized.range_noise_sigma,realized.b_a_mps2,realized.b_a_mg,realized.b_g_rad_s,realized.b_g_dph,realized.n_objects,realized.dropout_prob,realized.max_range,realized.peak_yaw_rad,realized.step_sigma
room,weather_dropout,catastrophic,0.0,2,0.0,691200,0.9802160212340321,0.7800770545663304,0.9226006191950464,0.2167821230103277,19.703858079111214,0.1295015320362733,,,,,,,0.0,80.0,,
room,weather_dropout,catastrophic,0.2,0,0.0,607937,0.9788589490427748,0.768003919784458,0.912472647702407,0.20963428998233716,19.71721524556832,0.14164904273855264,,,,,,,0.12,69.0,,
room,weather_dropout,catastrophic,0.2,1,0.0,608441,0.9797618955122033,0.7775351879192243,0.9153225806451613,0.22745124012486034,19.726888433514674,0.14132436404986526,,,,,,,0.12,69.0,,
room,weather_dropout,catastrophic,0.2,2,0.0,608436,0.9787566932151842,0.7674110087687499,0.836569579288026,0.20504119321875583,19.67040649459819,0.14045361348476798,,,,,,,0.12,69.0,,
room,weather_dropout,catastrophic,0.4,0,0.0,525380,0.9791592659698779,0.7715663971218311,0.9138906348208674,0.21099003913694894,19.72799437362874,0.1417045701038192,,,,,,,0.24,58.0,,
room,weather_dropout,catastrophic,0.4,1,0.0,525280,0.979793642507849,0.777292878119303,0.9173913043478261,0.20848323285817638,19.71703727979084,0.1433770487893253,,,,,,,0.24,58.0,,
room,weather_dropout,catastrophic,0.4,2,0.0,525393,0.9796258943297144,0.7768813462113319,0.9189020586400499,0.2192044128820685,19.701037406192764,0.14173074013445897,,,,,,,0.24,58.0,,
room,weather_dropout,catastrophic,0.6,0,0.0,442099,0.9787804166412059,0.7679725846163631,0.9134375,0.20997781162869064,19.710644974605938,0.1430760715222824,,,,,,,0.36,47.0,,
room,weather_dropout,catastrophic,0.6,1,0.0,442351,0.9791393720010444,0.7700641407268886,0.9142857142857143,0.2139624553373005,19.719988378673378,0.1422641779818503,,,,,,,0.36,47.0,,
room,weather_dropout,catastrophic,0.6,2,0.0,442301,0.9791258072856159,0.7711711887308244,0.9165636588380717,0.22165460439786477,19.709062179203542,0.1404315127710573,,,,,,,0.36,47.0,,
room,weather_dropout,catastrophic,0.8,0,0.0,359106,0.9792728343919986,0.7725461902960196,0.9165091367359799,0.21335243860556935,19.702595045004283,0.14347028302173515,,,,,,,0.48,36.0,,
room,weather_dropout,catastrophic,0.8,1,0.0,359469,0.9799359613019556,0.7746133230210097,0.9167449139280125,0.21569447204760633,19.694647419088287,0.14155736697739174,,,,,,,0.48,36.0,,
room,weather_dropout,catastrophic,0.8,2,0.0,359470,0.9799250191924498,0.7777623343093034,0.9170549860205033,0.2056524594280226,19.703373936977616,0.14226104135335899,,,,,,,0.48,36.0,,
room,weather_dropout,catastrophic,1.0,0,0.0,276324,0.979898020339243,0.774106369621027,0.9196011218448115,0.2034571342108634,19.726596471761077,0.14152539410080112,,,,,,,0.6,25.0,,
room,weather_dropout,catastrophic,1.0,1,0.0,276088,0.9798652017564596,0.7788354044517912,0.916195856873823,0.21675916446485805,19.728361441719713,0.14308775870920049,,,,,,,0.6,25.0,,
room,weather_dropout,catastrophic,1.0,2,0.0,276490,0.9793085483138738,0.7752361619280064,0.9173886138613861,0.22964817547293936,19.693919582530967,0.1421809282610062,,,,,,,0.6,25.0,,
room,imu_saturation,catastrophic,0.0,0,0.0,691200,0.9792535120611114,0.772070985590427,0.9149202377228652,0.22292219175055167,19.712693823959874,0.1294653187472271,,,,,,,,,0.0,
room,imu_saturation,catastrophic,0.0,1,0.0,691200,0.9790920849677196,0.7687584158858567,0.8396598216137731,0.21984679805330137,19.701846265265136,0.13052907501370736,,,,,,,,,0.0,
room,imu_saturation,catastrophic,0.0,2,0.0,691200,0.9802160212340321,0.7800770545663304,0.9226006191950464,0.2167821230103277,19.703858079111214,0.1295015320362733,,,,,,,,,0.0,
room,imu_saturation,catastrophic,0.2,0,0.0694307208661987,691200,0.7966324861554132,0.3190972823678873,0.41610305958132043,0.2446072289912604,17.204306558132544,0.16693673286102112,,,,,,,,,0.12,
room,imu_saturation,catastrophic,0.2,1,0.0694307208661987,691200,0.7949453528362049,0.3166799621692922,0.415880247315327,0.22315444917017796,17.160668866544867,0.16584359015927613,,,,,,,,,0.12,
room,imu_saturation,catastrophic,0.2,2,0.0694307208661987,691200,0.7927345013658529,0.31332147303866253,0.41831763559597274,0.23673511265290942,17.21456327900193,0.16649569106841738,,,,,,,,,0.12,
room,imu_saturation,catastrophic,0.4,0,0.1388614417323974,691200,0.7416023082556163,0.2568612226387301,0.3411910669975186,0.23443847099447768,16.46267372292794,0.20025225284262024,,,,,,,,,0.24,
room,imu_saturation,catastrophic,0.4,1,0.1388614417323974,691200,0.7396260810362637,0.2563791221666006,0.3360552763819096,0.21959581606935666,16.433502925894395,0.1974933910991915,,,,,,,,,0.24,
room,imu_saturation,catastrophic,0.4,2,0.1388614417323974,691200,0.7426247761910953,0.2571298897005711,0.34779932286857496,0.2271806421467113,16.481559394255388,0.19821996818688814,,,,,,,,,0.24,
room,imu_saturation,catastrophic,0.6,0,0.2082921625985961,691200,0.7360576404773291,0.2493084151554259,0.2995843230403801,0.22366472566126075,16.03408986191061,0.23180941081161133,,,,,,,,,0.36,
room,imu_saturation,catastrophic,0.6,1,0.2082921625985961,691200,0.7335574089114578,0.2483560227862406,0.2963074151906334,0.19241891323280916,16.009378866384942,0.22697540543359154,,,,,,,,,0.36,
room,imu_saturation,catastrophic,0.6,2,0.2082921625985961,691200,0.7391746159589556,0.2516364262965359,0.31013215859030835,0.22149694612367712,16.036759444265442,0.22785010289761426,,,,,,,,,0.36,
room,imu_saturation,catastrophic,0.8,0,0.2777228834647948,691200,0.7392496697999827,0.250570668982988,0.2749853886616014,0.21450303027906614,15.731824995892024,0.26008518093635913,,,,,,,,,0.48,
room,imu_saturation,catastrophic,0.8,1,0.2777228834647948,691200,0.7353352549375861,0.24857401108184243,0.27922648696161734,0.21927061092856742,15.71851741293822,0.2549600254178279,,,,,,,,,0.48,
room,imu_saturation,catastrophic,0.8,2,0.2777228834647948,691200,0.7389158636553494,0.24934760094758698,0.2862496396656097,0.21809112255182544,15.769640595006454,0.2556029775108422,,,,,,,,,0.48,
room,imu_saturation,catastrophic,1.0,0,0.3471536043309935,691200,0.7431002184194764,0.25236246274294877,0.27583212735166424,0.20042249492904693,15.511119418575149,0.28644120698705966,,,,,,,,,0.6,
room,imu_saturation,catastrophic,1.0,1,0.3471536043309935,691200,0.744248959861766,0.2534447878234488,0.27046783625730997,0.20777570454204852,15.50333067398537,0.28028294873013904,,,,,,,,,0.6,
room,imu_saturation,catastrophic,1.0,2,0.3471536043309935,691200,0.7474359294266507,0.2554361783240643,0.2733544121874102,0.19311396180107554,15.53945985342222,0.27988776531128057,,,,,,,,,0.6,
room,random_walk,phenomenological,0.0,0,0.0,691200,0.9792535120611114,0.772070985590427,0.9149202377228652,0.22292219175055167,19.712693823959874,0.1294653187472271,,,,,,,,,,0.0
room,random_walk,phenomenological,0.0,1,0.0,691200,0.9790920849677196,0.7687584158858567,0.8396598216137731,0.21984679805330137,19.701846265265136,0.13052907501370736,,,,,,,,,,0.0
room,random_walk,phenomenological,0.0,2,0.0,691200,0.9802160212340321,0.7800770545663304,0.9226006191950464,0.2167821230103277,19.703858079111214,0.1295015320362733,,,,,,,,,,0.0
room,random_walk,phenomenological,0.2,0,0.3373564451839221,691200,0.7837930788677592,0.30725455709168087,0.4725274725274725,0.22732640414448455,16.851348504740454,0.2192816206494701,,,,,,,,,,0.024
room,random_walk,phenomenological,0.2,1,0.43942074851751245,691200,0.7818869070884442,0.30972299447375157,0.5129478538488825,0.23434500087961876,16.491370292214953,0.25134102612154247,,,,,,,,,,0.024
room,random_walk,phenomenological,0.2,2,0.23591303193069782,691200,0.8792334773271407,0.4501998804169667,0.688734835355286,0.20803179398681051,17.322584266049823,0.18628664098623493,,,,,,,,,,0.024
room,random_walk,phenomenological,0.4,0,0.6747128903678442,691200,0.7602447037291854,0.2931280562771729,0.3264659270998415,0.25235791987434425,15.815072272906592,0.3093298846734913,,,,,,,,,,0.048
room,random_walk,phenomenological,0.4,1,0.8788414970350249,691200,0.7841188472449072,0.30362489381177504,0.4066776135741653,0.2639222983596459,15.505432296088621,0.3608144830331348,,,,,,,,,,0.048
room,random_walk,phenomenological,0.4,2,0.47182606386139564,691200,0.829897123914471,0.3464087106101759,0.38353815375821665,0.190562718251306,16.36708186546978,0.24085582350423196,,,,,,,,,,0.048
room,random_walk,phenomenological,0.6,0,1.012069335551766,691200,0.7396171219585275,0.26445997972283675,0.2525172231054584,0.2622913690136387,15.1891153773265,0.39198253185529053,,,,,,,,,,0.072
